stock_name,ticker,market,exchange
360 ONE WAM Ltd.,360,Indian,NSE
ABB India Ltd.,ABB,Indian,NSE
ACC Ltd.,ACC,Indian,NSE
APL Apollo Tubes Ltd.,APL,Indian,NSE
AU Small Finance Bank Ltd.,AU,Indian,NSE
Adani Energy Solutions Ltd.,ADANI,Indian,NSE
Aditya Birla Capital Ltd.,ADITYA,Indian,NSE
Alkem Laboratories Ltd.,ALKEM,Indian,NSE
Ambuja Cements Ltd.,AMBUJA,Indian,NSE
Apollo Hospitals Enterprise Ltd.,APOLLO,Indian,NSE
Ashok Leyland Ltd.,ASHOK,Indian,NSE
Asian Paints Ltd.,ASIAN,Indian,NSE
Astral Ltd.,ASTRAL,Indian,NSE
Aurobindo Pharma Ltd.,AUROBINDO,Indian,NSE
Avenue Supermarts Ltd.,AVENUE,Indian,NSE
Axis Bank Ltd.,AXIS,Indian,NSE
BSE Ltd.,BSE,Indian,NSE
Bajaj Auto Ltd.,BAJAJ,Indian,NSE
Bank of Baroda,BANK,Indian,NSE
Bharat Dynamics Ltd.,BHARAT,Indian,NSE
Bharti Airtel Ltd.,BHARTI,Indian,NSE
Biocon Ltd.,BIOCON,Indian,NSE
Blue Star Ltd.,BLUE,Indian,NSE
Bosch Ltd.,BOSCH,Indian,NSE
Britannia Industries Ltd.,BRITANNIA,Indian,NSE
CG Power and Industrial Solutions Ltd.,CG,Indian,NSE
Canara Bank,CANARA,Indian,NSE
Cholamandalam Investment and Finance Company Ltd.,CHOLAMANDALAM,Indian,NSE
Cipla Ltd.,CIPLA,Indian,NSE
Coal India Ltd.,COAL,Indian,NSE
Cochin Shipyard Ltd.,COCHIN,Indian,NSE
Coforge Ltd.,COFORGE,Indian,NSE
Colgate Palmolive (India) Ltd.,COLGATE,Indian,NSE
Container Corporation of India Ltd.,CONTAINER,Indian,NSE
Coromandel International Ltd.,COROMANDEL,Indian,NSE
Cummins India Ltd.,CUMMINS,Indian,NSE
DLF Ltd.,DLF,Indian,NSE
Dabur India Ltd.,DABUR,Indian,NSE
Divi's Laboratories Ltd.,DIVI'S,Indian,NSE
Dixon Technologies (India) Ltd.,DIXON,Indian,NSE
Dr. Reddy's Laboratories Ltd.,DR.,Indian,NSE
Eicher Motors Ltd.,EICHER,Indian,NSE
Eternal Ltd.,ETERNAL,Indian,NSE
Exide Industries Ltd.,EXIDE,Indian,NSE
FSN E-Commerce Ventures Ltd.,FSN,Indian,NSE
Federal Bank Ltd.,FEDERAL,Indian,NSE
Fortis Healthcare Ltd.,FORTIS,Indian,NSE
GAIL (India) Ltd.,GAIL,Indian,NSE
GMR Airports Ltd.,GMR,Indian,NSE
